Product Name,Image_URL,Costco_100_Billy_Bishop_Way_North_York_On - Price,Costco_100_Billy_Bishop_Way_North_York_On - Stock,Costco_100_Billy_Bishop_Way_North_York_On - Deal,Costco_1411_Warden_Ave_Scarborough_On - Price,Costco_1411_Warden_Ave_Scarborough_On - Stock,Costco_1411_Warden_Ave_Scarborough_On - Deal,Costco_1570_Dundas_Ste_Mississauga_On - Price,Costco_1570_Dundas_Ste_Mississauga_On - Stock,Costco_1570_Dundas_Ste_Mississauga_On - Deal,Costco_2260_Islington_Ave_Etobicoke_On - Price,Costco_2260_Islington_Ave_Etobicoke_On - Stock,Costco_2260_Islington_Ave_Etobicoke_On - Deal,Costco_42_Overlea_Blvd_Toronto_On - Price,Costco_42_Overlea_Blvd_Toronto_On - Stock,Costco_42_Overlea_Blvd_Toronto_On - Deal,Costco_50_Queen_Elizabeth_Blvd_Etobicoke_On - Price,Costco_50_Queen_Elizabeth_Blvd_Etobicoke_On - Stock,Costco_50_Queen_Elizabeth_Blvd_Etobicoke_On - Deal,Costco_Business_Centre_Scarborough_Bus_Ctr_Scarborough_On - Price,Costco_Business_Centre_Scarborough_Bus_Ctr_Scarborough_On - Stock,Costco_Business_Centre_Scarborough_Bus_Ctr_Scarborough_On - Deal
"1% Milk, 4 L",https://tb-static.uber.com/prod/image-proc/processed_images/80f845cf1ea534941d9ce842897be344/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$6.49,Available,,$6.49,Available,,$6.49,Available,,$6.49,Available,,$6.49,Available,,$6.49,Available,,$6.49,Available,
2% Milk (4 L),https://tb-static.uber.com/prod/image-proc/processed_images/d88324488eb32c6545e7eb1ae7ffbe84/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$6.49,Available,,NOT CARRIED,NOT CARRIED,,$6.49,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,
20 Pieces Wagon Playset,https://tb-static.uber.com/prod/image-proc/processed_images/34e1e1b8abc2efb70d0da1f9578c6053/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$28.79,Available,,$28.79,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,
24 Stem Valentine Roses Bouquet,https://tb-static.uber.com/prod/image-proc/processed_images/fd0f93299ec2cbdf2a64efe436b02495/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$25.59,Available,
2F2F Nissan Skyline Gt-R P54 H46 Ftl3240  Fy26,https://cn-geo1.uber.com/static/mobile-content/eats/placeholder_images/placeholder_image_grocery_300x300.png,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$154.70,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,
2L Chocolate Milk 2% Ecsl 20,https://tb-static.uber.com/prod/image-proc/processed_images/42ad6b81e8f02c87b97bc562604d3a76/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$4.89,Available,,$4.89,Available,,$4.89,Available,,NOT CARRIED,NOT CARRIED,,$4.89,Available,,$4.89,Available,,$4.89,Available,
"7Days Soft Croissants, Chocolate (24 x 75 g)",https://tb-static.uber.com/prod/image-proc/processed_images/6ba1ad2712181ce9c120451b187ad19f/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$26.66,Available,
"9-Grains Ciabatta Buns, 18-Count",https://tb-static.uber.com/prod/image-proc/processed_images/566c977d111691c27eed154ba2bea05c/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$7.45,Available,,$7.45,Available,,$7.45,Available,,$7.45,Available,,$7.45,Available,,$7.45,Available,,NOT CARRIED,NOT CARRIED,
"A&W Root Beer, 355 Ml, 24-Pack",https://tb-static.uber.com/prod/image-proc/processed_images/2a2429a8c9408490b84ba843605d2f1b/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$14.92,Available,
"AMOS Peelerz Gummy Candy, Mango (1.02 kg, 34 ct)",https://tb-static.uber.com/prod/image-proc/processed_images/364872ff5e1a6bd0c7684fdc025c9005/b4665c191b34baf3d0e0fa45dfdd3d1d.jpeg,$14.92,Available,,$14.92,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,,$14.92,Available,,NOT CARRIED,NOT CARRIED,,NOT CARRIED,NOT CARRIED,
